id,species_id,name,species,breed,age,gender,weight,status,found,released,admitted,image_url,url
34,1608/24,Missy,dog,Mieszaniec,4 lata,samica,11 kg,wydane adopcja,"ul. Książęca, Warszawa (lecznica)",2025-02-15,2024-11-16,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402766/79a9417e9f3aaf4a.jpg,https://napaluchu.waw.pl/pet/012402766/
35,1518/24,Ulfi,dog,Mieszaniec,3 lata,samiec,19 kg,wydane adopcja,"Warszawa, ul. Zuga",2025-02-15,2024-10-28,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402624/af4b1841c27a01e1.jpg,https://napaluchu.waw.pl/pet/012402624/
37,0090/25,Rogalik,dog,Mieszaniec,3 miesiące,samiec,5 kg,wydane adopcja,"Warszawa, ul. Bachmacka",2025-02-14,2025-01-30,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/90-25p_2.jfif,https://napaluchu.waw.pl/pet/0900000025/
38,1685/24,Papaya,dog,Mieszaniec,1 rok,samica,21 kg,wydane adopcja,"Warszawa, ul. Chełmska",2025-02-14,2024-12-06,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402883/e64f2402f9ebb2b9.jpg,https://napaluchu.waw.pl/pet/012402883/
41,1370/24,Pixel,dog,Mieszaniec,7 lat,samiec,12 kg,wydane adopcja,"ul. Tatarska, Warszawa",2025-02-12,2024-09-29,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402332/a76022ab8ff6292d.jpg,https://napaluchu.waw.pl/pet/012402332/
42,1650/24,Olo,dog,Mieszaniec,1 rok,samiec,8 kg,wydane adopcja,"Grójecka, Warszawa",2025-02-12,2024-11-26,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402828/0f93d9c4a3153677.jpg,https://napaluchu.waw.pl/pet/012402828/
43,1781/24,Zoe,dog,Mieszaniec,1 rok,samica,5 kg,wydane adopcja,# weryfikacja,2025-02-11,2024-12-29,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403024/c606bd3621e1d5f1.jpg,https://napaluchu.waw.pl/pet/012403024/
44,1586/24,Honzik,dog,Mieszaniec,14 lat,samiec,13 kg,wydane adopcja,Warszawa,2025-02-11,2024-11-12,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402726/942f57ef8e625e3c.jpg,https://napaluchu.waw.pl/pet/012402726/
45,1574/24,Diamencik,dog,Mieszaniec,13 lat,samiec,10 kg,wydane adopcja,"Warszawa, ul Wrzeciono",2025-02-11,2024-11-08,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402706/7a8fc5fa62314094.jpg,https://napaluchu.waw.pl/pet/012402706/
46,1703/24,Jerry,dog,Wyżeł,3 lata,samiec,29 kg,wydane adopcja,"ul. Wawelska, Warszawa",2025-02-11,2024-12-09,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402908/9cb583ea93a24447.jpg,https://napaluchu.waw.pl/pet/012402908/
48,1570/24,Brandy,dog,Mieszaniec,15 lat,samica,9 kg,wydane adopcja,ul Słoneczna,2025-02-09,2024-11-08,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402702/5d7f5b651ceddc88.jpg,https://napaluchu.waw.pl/pet/012402702/
49,1690/24,Daisy,dog,Mieszaniec,1 rok,samica,7 kg,wydane adopcja,"Park Skaryszewski, Warszawa",2025-02-09,2024-12-07,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402890/67a079848f9a8674.jpg,https://napaluchu.waw.pl/pet/012402890/
50,1471/24,LENNOX,dog,Mieszaniec,11 miesięcy,samiec,16 kg,wydane adopcja,,2025-02-08,2024-10-20,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402529/b95f760a46ce8324.jpg,https://napaluchu.waw.pl/pet/012402529/
51,0095/25,Iluzja,dog,Mieszaniec,3 miesiące,samica,3 kg,wydane adopcja,"Warszawa, ul. Szkoły Orląt",2025-02-08,2025-01-31,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/95-25p.jfif,https://napaluchu.waw.pl/pet/0900000047/
93,0044/25,Pyza,dog,Mieszaniec,2 miesiące,samica,2 kg,wydane adopcja,"Grochowska, Warszawa",2025-01-20,2025-01-10,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012500061/af53e6ce93777819.jpg,https://napaluchu.waw.pl/pet/012500061/
98,1268/24,Bobbi,dog,Mieszaniec,10 lat,samiec,10 kg,wydane adopcja,"Warszawa, al. Polski Walczącej",2025-01-18,2024-09-05,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402120/0d3b30d1d23208ad.jpg,https://napaluchu.waw.pl/pet/012402120/
99,1631/24,STASIEK,dog,Mieszaniec,1 rok,samiec,11 kg,wydane adopcja,"Blatona, Warszawa",2025-01-18,2024-11-22,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402803/c09c972e127cd8d7.jpg,https://napaluchu.waw.pl/pet/012402803/
100,1417/24,Viki,dog,Mieszaniec,3 lata,samica,7 kg,wydane adopcja,"ul. Wincentego, Warszawa",2025-01-18,2024-10-10,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402425/0f0cbac6eaa7c36d.jpg,https://napaluchu.waw.pl/pet/012402425/
101,0799/24,Elektra,dog,Mieszaniec,1 rok,samica,22 kg,wydane adopcja,"Warszawa, ul. Remiszewska",2025-01-17,2024-06-05,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012401163/5b0dc4c96eccbd46.jpeg,https://napaluchu.waw.pl/pet/012401163/
102,1618/24,Garda,dog,Mieszaniec,1 rok,samica,18 kg,wydane adopcja,"ul. Marzanny, Warszawa",2025-01-17,2024-11-20,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402785/d16816abbd69c1d6.jpg,https://napaluchu.waw.pl/pet/012402785/
103,1577/24,Thor,dog,Amstaff,2 lata,samiec,27 kg,wydane adopcja,Porzucony na terenie Schroniska,2025-01-17,2024-11-09,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402710/756c60cf51cdcbaa.jpg,https://napaluchu.waw.pl/pet/012402710/
104,1393/24,Hanys,dog,Mieszaniec,1 rok,samiec,23 kg,wydane adopcja,"Warszawa, ul. Niemcewicza",2025-01-16,2024-10-04,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402380/5fdebf2410e444c4.jpg,https://napaluchu.waw.pl/pet/012402380/
105,1803/24,Sylwester,dog,Mieszaniec,4 miesiące,samiec,4 kg,wydane adopcja,"Nowolipki, Warszawa",2025-01-14,2024-12-31,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403049/039cdb4625c905e0.jpeg,https://napaluchu.waw.pl/pet/012403049/
107,1500/24,Kajko,dog,Mieszaniec,1 rok,samiec,11 kg,wydane adopcja,"Warszawa, ul. Las Kabacki",2025-01-12,2024-10-25,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402583/67871b7e263a59ed.jpg,https://napaluchu.waw.pl/pet/012402583/
108,1780/24,Poker,dog,Mieszaniec,3 miesiące,samiec,3 kg,wydane adopcja,"Warszawa, ul. Skarbka z Gór",2025-01-12,2024-12-28,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403023/e99c5d788d296f34.jpg,https://napaluchu.waw.pl/pet/012403023/
109,1450/24,Bono,dog,Mieszaniec,11 miesięcy,samiec,25 kg,wydane adopcja,"Warszawa, ul. Wolska (lecznica)",2025-01-12,2024-10-16,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402483/adeb21bb81e49155.jpg,https://napaluchu.waw.pl/pet/012402483/
110,1791/24,Grappa,dog,Mieszaniec,3 miesiące,samica,2 kg,wydane adopcja,Żabieniec Zimne Doły,2025-01-12,2024-12-30,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403037/635545993337ecc8.jpeg,https://napaluchu.waw.pl/pet/012403037/
112,1415/24,Atena,dog,Chart,7 lat,samica,24 kg,wydane adopcja,"Warszawa, ul. Wyszogrodzka - odebrany, ul. Odlewnicza - znaleziona",2025-01-11,2024-10-10,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402424/37e692d76a15d297.jpg,https://napaluchu.waw.pl/pet/012402424/
114,1619/24,Śnieżka,dog,Mieszaniec,10 miesięcy,samica,13 kg,wydane adopcja,"ul. Włodarzewska, Warszawa",2025-01-10,2024-11-20,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402786/57441c91c2e36671.jpg,https://napaluchu.waw.pl/pet/012402786/
115,1804/24,Melania,dog,Mieszaniec,4 miesiące,samica,3 kg,wydane adopcja,"Nowolipki, Warszawa",2025-01-09,2024-12-31,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403050/c670a0048fc1ac36.jpeg,https://napaluchu.waw.pl/pet/012403050/
116,1628/24,Nachos,dog,Mieszaniec,1 rok,samiec,8 kg,wydane adopcja,"Warszawa, ul. Na Skraju",2025-01-09,2024-11-22,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402800/57f1cf3561a47b60.jpg,https://napaluchu.waw.pl/pet/012402800/
118,1788/24,Absynt,dog,Mieszaniec,3 miesiące,samiec,2 kg,wydane adopcja,"Żabieniec, Zimne Doły",2025-01-09,2024-12-30,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403034/c05ac130c45a7fa4.jpeg,https://napaluchu.waw.pl/pet/012403034/
119,1758/24,,dog,Mieszaniec,1 rok,samiec,25 kg,wydane adopcja,"ul. Trakt Lubelski, Warszawa",2025-01-08,2024-12-23,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/20923_mini.jpg,https://napaluchu.waw.pl/pet/012402996/
120,1549/24,Iskierka,dog,Mieszaniec,3 lata,samica,9 kg,wydane adopcja,"Warszawa, ul. Warszawska (Wesoła)",2025-01-08,2024-11-04,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402674/840d5bb5e45c0465.jpg,https://napaluchu.waw.pl/pet/012402674/
121,1216/24,Cheddar,dog,Mieszaniec,6 lat,samiec,12 kg,wydane adopcja,"ul. Łukowska, Warszawa (lecznica)",2025-01-08,2024-08-24,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402010/2b2d03b89d54763a.jpg,https://napaluchu.waw.pl/pet/012402010/
123,1517/24,Mania,dog,Mieszaniec,2 lata,samica,13 kg,wydane adopcja,"Warszawa, ul. Nowolipki",2025-01-06,2024-10-28,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402623/1ae735fbe6f45e0d.jpg,https://napaluchu.waw.pl/pet/012402623/
124,1604/24,Arabik,dog,Mieszaniec,2 lata,samiec,20 kg,wydane adopcja,"Lasek Kabacki, Warszawa",2025-01-06,2024-11-16,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402761/5695e0c6adce3fa9.jpg,https://napaluchu.waw.pl/pet/012402761/
125,1637/24,Cherry,dog,Owczarek niemiecki,6 lat,samica,26 kg,wydane adopcja,"Ul. Wilanów, Warszawa",2025-01-06,2024-11-25,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402812/bc0491646552fa5f.jpg,https://napaluchu.waw.pl/pet/012402812/
126,1684/24,Mango,dog,Mieszaniec,1 rok,samiec,18 kg,wydane adopcja,"Warszawa, ul. Chełmska",2025-01-06,2024-12-06,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402881/5179f51ebb8618c9.jpg,https://napaluchu.waw.pl/pet/012402881/
127,1206/24,Humus,dog,Mieszaniec,5 lat,samiec,13 kg,wydane adopcja,"Warszawa, ul. Okrętowa",2025-01-06,2024-08-22,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012401982/d8680e676c66aabc.jpg,https://napaluchu.waw.pl/pet/012401982/
129,1792/24,Wermut,dog,Mieszaniec,3 miesiące,samiec,2 kg,wydane adopcja,"Żąbieniec, Zimne Doły",2025-01-06,2024-12-30,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403038/dbc1f4142930ad57.jpeg,https://napaluchu.waw.pl/pet/012403038/
130,1814/23,Robin,dog,Mieszaniec,7 lat,samiec,14 kg,wydane adopcja,"Warszawa, ul. Meander",2025-01-06,2023-12-17,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012303009/56a2329ee5d2a9ae.jpg,https://napaluchu.waw.pl/pet/012303009/
131,1529/24,Venus,dog,Mieszaniec,1 rok,samica,24 kg,wydane adopcja,"Warszawa, ul. Paganiniego (lecznica)",2025-01-05,2024-10-31,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402641/3d79fe2f8db19796.jpg,https://napaluchu.waw.pl/pet/012402641/
132,1789/24,Brandy,dog,Mieszaniec,3 miesiące,samica,3 kg,wydane adopcja,"Żabieniec, Zimne Doły",2025-01-05,2024-12-30,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403035/8282dfdace12cca1.jpeg,https://napaluchu.waw.pl/pet/012403035/
133,1794/24,Sherry,dog,Mieszaniec,3 miesiące,samica,2 kg,wydane adopcja,"Żabieniec, Zimne Doły",2025-01-05,2024-12-30,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403040/a563142e27a53b55.jpeg,https://napaluchu.waw.pl/pet/012403040/
134,1587/24,Czarcik,dog,Mieszaniec,2 lata,samiec,7 kg,wydane adopcja,"Warszawa, ul. Pańska",2025-01-05,2024-11-12,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402728/377b52508b23a207.JPG,https://napaluchu.waw.pl/pet/012402728/
135,1790/24,Tequila,dog,Mieszaniec,3 miesiące,samica,2 kg,wydane adopcja,"Żabieniec, Zimne Doły",2025-01-04,2024-12-30,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403036/e6c7c09ef5f33c17.jpeg,https://napaluchu.waw.pl/pet/012403036/
136,1386/24,Perro,dog,Mieszaniec,1 rok,samiec,12 kg,wydane adopcja,"Lasek Bielański, Warszawa",2025-01-04,2024-10-03,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402363/6a7037650045593a.jpg,https://napaluchu.waw.pl/pet/012402363/
137,1238/24,Gustlik,dog,Mieszaniec,13 lat,samiec,25 kg,wydane adopcja,ul. Konwisarska,2025-01-04,2024-08-30,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402063/38ec6f1d3d8da5d6.jpeg,https://napaluchu.waw.pl/pet/012402063/
139,1775/24,Ligia,dog,Mieszaniec,4 miesiące,samica,9 kg,wydane adopcja,"Krzyżanowskiego, Warszawa",2025-01-04,2024-12-27,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012403017/003e1afdc0beed41.jpg,https://napaluchu.waw.pl/pet/012403017/
140,1594/24,King,dog,Owczarek niemiecki,7 miesięcy,samiec,18 kg,wydane adopcja,"Warszawa, ul. Karczunkowska",2025-01-04,2024-11-15,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402741/1a876d5082b13ecf.jpg,https://napaluchu.waw.pl/pet/012402741/
141,1350/24,Tira,dog,Mieszaniec,1 rok,samica,6 kg,wydane adopcja,,2025-01-04,2024-09-24,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402291/d89f1a1c7f1b4d39.jpg,https://napaluchu.waw.pl/pet/012402291/
142,1326/24,Pompon,dog,Mieszaniec,4 lata,samiec,9 kg,wydane adopcja,# weryfikacja,2025-01-04,2024-09-19,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402244/0d9ff0102269b090.jpg,https://napaluchu.waw.pl/pet/012402244/
143,1857/22,Kajtek,dog,Beagle,10 lat,samiec,16 kg,wydane adopcja,,2025-01-04,2022-11-14,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012203157/835e85a2278354b5.jpeg,https://napaluchu.waw.pl/pet/012203157/
144,1672/23,Fudżi,dog,Mieszaniec,9 lat,samiec,35 kg,wydane adopcja,Warszawa Wesoła ul. Szklarniowa,2025-01-03,2023-11-19,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012302793/149b458862d78d56.jpg,https://napaluchu.waw.pl/pet/012302793/
145,1430/24,Rysio,dog,Mieszaniec,10 lat,samiec,8 kg,wydane adopcja,"Warszawa, ul. Kaczorowa",2025-01-03,2024-10-12,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402444/d10b8fbbf87f33e8.jpg,https://napaluchu.waw.pl/pet/012402444/
146,1749/24,Zenia,dog,Mieszaniec,4 miesiące,samica,1 kg,wydane adopcja,"Warszawa, ul. Przyczółkowa",2025-01-02,2024-12-22,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402983/e59b5e958b43f7af.jpeg,https://napaluchu.waw.pl/pet/012402983/
147,1748/24,Frania,dog,Mieszaniec,4 miesiące,samica,2 kg,wydane adopcja,"Warszawa, ul. Przyczółkowa",2025-01-02,2024-12-22,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402982/61b6cdd560719d59.jpeg,https://napaluchu.waw.pl/pet/012402982/
148,1525/24,Witek,dog,Mieszaniec,3 lata,samiec,18 kg,wydane adopcja,"Raszyn, ul. Środkowa",2025-01-02,2024-10-30,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402636/d4aa8b3945e2b081.JPG,https://napaluchu.waw.pl/pet/012402636/
150,0009/25,,dog,Mieszaniec,4 lata,samica,22 kg,wydane adopcja,PKP Włochy,2025-01-02,2025-01-01,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/20979_mini.jpg,https://napaluchu.waw.pl/pet/012500003/
154,1344/24,Sycylia,dog,Mieszaniec,1 rok,samica,16 kg,wydane adopcja,"Dwusieczna, Warszawa",2024-12-30,2024-09-23,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402276/27fee43355aacaf5.jpeg,https://napaluchu.waw.pl/pet/012402276/
157,1622/24,STASIA,dog,Mieszaniec,1 rok,samica,10 kg,wydane adopcja,"Warszawa, ul. Połczyńska",2024-12-30,2024-11-21,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402789/02df76f27d644961.jpg,https://napaluchu.waw.pl/pet/012402789/
158,1452/24,Oscypek,dog,Mieszaniec,5 lat,samiec,5 kg,wydane adopcja,"Żupnicza, Warszawa",2024-12-29,2024-10-16,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402486/59347d50812166c1.jpg,https://napaluchu.waw.pl/pet/012402486/
159,1527/24,Słomka,dog,Mieszaniec,1 rok,samica,15 kg,wydane adopcja,"Warszawa, ul. Chodecka",2024-12-28,2024-10-30,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402638/9ac50ad1f6f9ef8e.jpg,https://napaluchu.waw.pl/pet/012402638/
161,1723/24,Czart,dog,Mieszaniec,4 miesiące,samiec,2 kg,wydane adopcja,"Warszawa, Hala Mirowska",2024-12-28,2024-12-16,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/20875_mini.jpg,https://napaluchu.waw.pl/pet/012402941/
162,1642/24,Skrzatka,dog,Shih Tzu,13 lat,samica,3 kg,wydane adopcja,"Warszawa, ul. Brzeska",2024-12-28,2024-11-25,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402818/b550c05e89753403.jpeg,https://napaluchu.waw.pl/pet/012402818/
163,1557/24,Kama,dog,Mieszaniec,7 lat,samica,13 kg,wydane adopcja,"Warszawa, działki Na Paluchu",2024-12-28,2024-11-07,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/foto/20671_mini.jpg,https://napaluchu.waw.pl/pet/012402687/
164,1613/24,MARLON,dog,Mieszaniec,3 lata,samiec,7 kg,wydane adopcja,"Warszawa, ul. Jagiellońska",2024-12-28,2024-11-18,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402774/85202c5c48721e97.jpg,https://napaluchu.waw.pl/pet/012402774/
165,1497/24,Max,dog,Mieszaniec,13 lat,samiec,21 kg,wydane adopcja,"Warszawa, ul. Rolnicza",2024-12-27,2024-10-24,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402579/2114684dd925c3de.jpg,https://napaluchu.waw.pl/pet/012402579/
166,1434/24,Kiwi,dog,Mieszaniec,1 rok,samica,14 kg,wydane adopcja,"Warszawa, ul. Śreniawitów (lecznica)",2024-12-27,2024-10-13,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402449/0a2d42535ca9a1ce.jpg,https://napaluchu.waw.pl/pet/012402449/
167,1672/24,Lilou,dog,Mieszaniec,1 rok,samica,22 kg,wydane adopcja,"ul. Chlubna, Warszawa",2024-12-27,2024-12-03,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402867/aafe596f171927a2.jpeg,https://napaluchu.waw.pl/pet/012402867/
171,1530/24,Papi,dog,Mieszaniec,8 lat,samiec,18 kg,wydane adopcja,,2024-12-27,2024-10-31,https://foto1.napaluchu.waw.pl/reksio/scale/660/460/files/big/012402642/41a5d772d2f86d56.jpeg,https://napaluchu.waw.pl/pet/012402642/
